ad_archive_id,collation_id,is_active,start_date_formatted,end_date_formatted,page_name,snapshot.page_name,snapshot.title,snapshot.body.text,snapshot.cta_text,snapshot.display_format,snapshot.link_url,domain,url_path,utm_source,utm_medium,utm_campaign,category_code,utm_term,utm_content,funding_type_label,supplier_label,brand_label,campaign_period,creative_format,card_title,card_body,card_cta_text,card_image_url,card_video_hd_url,publisher_platform,country,retailer,platform,channel,snapshot_week,snapshot_month,publisher_platform_clean,facebook,instagram,audience_network,messenger,threads,whatsapp,landing_page_type,is_official_cw,mentions_cw_brand,tga_risk_flag,snapshot_date,start_date_formatted_dt,snapshot_run_datetime,campaign_age_days
2220800672087642,1934065787302591,True,2026-06-05 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,Soothes and Relieves,"Medicated throat multi-packs across Butter Menthol, Anticol and Soothers brands. Providing you comfort from your sore throat!",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/1222/soothers?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun25_100515-oa_video-image&utm_term=traffic&utm_content=video-image_,www.chemistwarehouse.com.au,/shop-online/1222/soothers,facebook,social,au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun25_100515-oa_video-image,258,traffic,video-image_,O&O,Nestleconsumerservices,Soothers,jun25,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
965702916234648,991938377040059,True,2026-06-05 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,Soothes and Relieves,"Medicated throat multi-packs across Butter Menthol, Anticol and Soothers brands. Providing you comfort from your sore throat!",Shop now,VIDEO,https://www.chemistwarehouse.com.au/shop-online/1222/soothers?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun25_100515-oa_video-image&utm_term=traffic&utm_content=video-image_,www.chemistwarehouse.com.au,/shop-online/1222/soothers,facebook,social,au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun25_100515-oa_video-image,258,traffic,video-image_,O&O,Nestleconsumerservices,Soothers,jun25,video-image,,,,,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
1511556204085190,1310913481135646,True,2026-06-04 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/4343/daily-dog?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_house_facebook_social_chemistwarehouse_dailydog_60000_2026_100349-bau_image&utm_term=traffic&utm_content=image_static-range,www.chemistwarehouse.com.au,/shop-online/4343/daily-dog,facebook,social,au_cw_house_facebook_social_chemistwarehouse_dailydog_60000_2026_100349-bau_image,60000,traffic,image_static-range,House,Chemistwarehouse,Dailydog,2026,image,Treat your fur baby to Daily Dog,"Discover Daily Dog range at Chemist Warehouse, shop online now",Shop Now,https://scontent.fdac149-1.fna.fbcdn.net/v/t39.35426-6/716450730_1558218735642420_2600040955787648435_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tnxdLrx9ofIQ7kNvwHLZ_fJ&_nc_oc=AdqUGYfdkHp1y9Fd2de6-aOidpNwvt50cCot-fhNwjmW5eCJ9c9re249gnkqmLW4ouA&_nc_zt=14&_nc_ht=scontent.fdac149-1.fna&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&oh=00_Af_KaYbR3MNWuRtW_n7tZ4eM5OhGe0_MA_xHENftn4i-qw&oe=6A2C3421,,"['FACEBOOK', 'INSTAGRAM']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM",True,True,False,False,False,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-04 07:00:00,2026-06-08 16:55:56.821523,4
1014562157614292,26901983076098913,True,2026-06-04 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/4343/daily-dog?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_house_facebook_social_chemistwarehouse_dailydog_60000_2026_100349-bau_image&utm_term=traffic&utm_content=image_static-grooming,www.chemistwarehouse.com.au,/shop-online/4343/daily-dog,facebook,social,au_cw_house_facebook_social_chemistwarehouse_dailydog_60000_2026_100349-bau_image,60000,traffic,image_static-grooming,House,Chemistwarehouse,Dailydog,2026,image,Treat your fur baby to Daily Dog,"Discover Daily Dog range at Chemist Warehouse, shop online now",Shop Now,https://scontent.fdac149-1.fna.fbcdn.net/v/t39.35426-6/716076737_1296089302236096_2867560570749873178_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=C_5f44fn7fgQ7kNvwEluoaj&_nc_oc=Adq48l6w8AfC6t58l666XiWKBi6GUZefdIfw9aytHdKbS8GAhmgDCREOARnR_77kMHs&_nc_zt=14&_nc_ht=scontent.fdac149-1.fna&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&oh=00_Af_e58EnjGGaMSXGuCNwBv4kawaTRW68Q6OYnoKLcata_g&oe=6A2C510D,,"['FACEBOOK', 'INSTAGRAM']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM",True,True,False,False,False,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-04 07:00:00,2026-06-08 16:55:56.821523,4
990170680042132,968765558847336,True,2026-06-04 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/684/olay?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100078-bau_video-image&utm_term=conversion&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/684/olay,facebook,social,au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100078-bau_video-image,665,conversion,video-image_all,Coop,Proctergambleaustralia,Olay,2026,video-image,BUY NEW OLAY Range,Use Olay Super Essence Water & Super Emulsion together to Visibly reduces wrinkles,Shop Now,,https://video.fdac149-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQNsJLHEu6xd8TnaRomqqyk2jiiP84JgF8sxVgF77vzY4lv4209ryq_v3lEpkztnXMvh5EToI4qAGcGhNgrdy7JH7No_c5t3-66LM6cJWwbUFA.mp4?_nc_cat=107&_nc_oc=AdqcDDB95JvaXUE3K6JzTV1aa0sYweUC6AJRZp6H6T5_MnTivEoIH3xRKYxKymVbvRQ&_nc_sid=5e9851&_nc_ht=video.fdac149-1.fna.fbcdn.net&_nc_ohc=kqVAzXLOYpkQ7kNvwH3PSDr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjE0NDE2MjUzMTA0OTMxOTMsImFzc2V0X2FnZV9kYXlzIjo0NSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjMwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=c8a3449175dd5e5b&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9BMjRBNUUyMkZGOTNEODEzQjEyMzVERkY2MDVERTg4RV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0Q3NEUzREFENUE2NTkwOEE0QzMwOURDOTJGNDVCQkI2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaS6L_I0cmPBRUCKAJDMywXQD4AAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&_nc_zt=28&oh=00_Af_Q0-GzuC2YY-E8ZvxI2bpeteAJTBcspsOgQMsBBz_EZw&oe=6A2C4A95,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-04 07:00:00,2026-06-08 16:55:56.821523,4
1867565673920211,2026022308015757,True,2026-06-05 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/1222/soothers?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun26_100515-oa_video-image&utm_term=traffic&utm_content=video-image_,www.chemistwarehouse.com.au,/shop-online/1222/soothers,facebook,social,au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun26_100515-oa_video-image,258,traffic,video-image_,O&O,Nestleconsumerservices,Soothers,jun26,video-image,Soothes and Relieves,"Medicated throat multi-packs across Butter Menthol, Anticol and Soothers brands. Providing you comfort from your sore throat!",Shop Now,,https://video.fdac149-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQMS9boBhEVLkNWAIXNz7XHt3hbMSKGyadGYJ_yjtowMAxlQE7S_OEHQ8lWP4N0lropsVze08rXwf_j0mpdBM24H1G5vXF4IVu6yIIrFmeJTvA.mp4?_nc_cat=102&_nc_oc=AdoBhBcHTEArT8webYnFQ2fZRUgLtU1c7WF6PhEKa08kRtcNVqiu33IiIc69vwDhJO0&_nc_sid=5e9851&_nc_ht=video.fdac149-1.fna.fbcdn.net&_nc_ohc=E0lMbxtE0XwQ7kNvwFf6bYM&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjEwNDg0ODY3MjgwNDUwNDQsImFzc2V0X2FnZV9kYXlzIjozLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=a5accd280621138c&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9DNjREMkM2RjI0Qzg5OEM1NEI2MTM3MTc5RDYxMjJBMl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0M4NDZGMkI5MTM5MUY1NjdEQkM1NDEzRjlEMjYwMkFFX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbox9Dv-uXcAxUCKAJDMywXQDKQ5WBBiTcYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&_nc_zt=28&oh=00_Af_YUI8Trmcm59P3k1tFxYySp0JSZImcSE5jrJDXZhQ1_w&oe=6A2C4BFE,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
2442539089547933,1998551924094996,True,2026-06-05 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/684/olay?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100078-bau_video-image&utm_term=conversion&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/684/olay,facebook,social,au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100078-bau_video-image,665,conversion,video-image_all,Coop,Proctergambleaustralia,Olay,2026,video-image,BUY NEW OLAY Range,Use Olay Super Essence Water & Super Emulsion together to Visibly reduces wrinkles,Shop Now,,https://video.fdac149-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQMBWyxZnq-BJGzeV129koIwxKSHNpqOhBFG65SnKO6rNuX5j1rJTVVHrPV4SLCa5wCVan6zrOPPx4fWJ_ozRXF65qRz0JcNX4NjsH5s8gPPCA.mp4?_nc_cat=106&_nc_oc=AdrNgh_E3meMThhERNl0bLUop_uYWWE9eCOEtaRA7SFbEWZhl_4VUOyP6bZMAUCsCcY&_nc_sid=5e9851&_nc_ht=video.fdac149-1.fna.fbcdn.net&_nc_ohc=mHb_yPHjTp0Q7kNvwG0m43R&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjQ0MzQ4Njg2NTY3OTMzODIsImFzc2V0X2FnZV9kYXlzIjo0NSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=434d189412dfd53b&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC81QTRFRTdDMjMyNEQ4MzJCRUU4NDA4QTQ2NENBMDJBRV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzQ2NDQ4RkQ0NkQxREM2NzU5MDE2MDExOEI3NTA5Rjk3X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbMnM-uqt_gDxUCKAJDMywXQC4AAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&_nc_zt=28&oh=00_Af--yAiJOHcbglSFmk4QnEmWNbTkGe9ylQ669IYJq0SkoA&oe=6A2C1D82,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
26937256585936200,971940528856292,True,2026-06-05 07:00:00,2026-06-06 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/684/olay?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100078-bau_video-image&utm_term=conversion&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/684/olay,facebook,social,au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100078-bau_video-image,665,conversion,video-image_all,Coop,Proctergambleaustralia,Olay,2026,video-image,BUY NEW OLAY Range,Use Olay Super Essence Water & Super Emulsion together to Visibly reduces wrinkles,Shop Now,,https://video.fdac149-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQOozpVKRT9jMSiqOtLlJnPulE3ocxJcm_ZjXHKOB3tX6qEoOQAWB8hRCufYlT_RnF3nhvQyIkpNy6zzBe-Q9HE4wkgFDRKRlzMYheHdw5zBUw.mp4?_nc_cat=110&_nc_oc=AdrWeWJr_d3iny5HYr-sR4XNK7XrVLfe0gnf6HpZEdqNaFr593WVTpBDuzeumvt2g5s&_nc_sid=5e9851&_nc_ht=video.fdac149-1.fna.fbcdn.net&_nc_ohc=kBhlfhAadvoQ7kNvwHnCsOc&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIxMTUyOTkwOTkyOTI5NDAsImFzc2V0X2FnZV9kYXlzIjo0NSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjYwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=51797e9bb46139c6&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC82NDQyQjk4OTM3RDA4M0UxNEIzM0M4MzI3RDE2OTA5MV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzZDNDc4QTU5RTIyREE4NjQ2ODI0MjRGRjVCNzUyQUI2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaY1MG2zvbBBxUCKAJDMywXQE4AAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&_nc_zt=28&oh=00_Af8w6P91un9Mrp9Tf0DIjuqwSD2HVZRwg4RkuwI9rgqf8w&oe=6A2C2BC6,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
1677776763546782,1915253812438751,True,2026-06-05 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/4343/daily-dog?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_house_facebook_social_chemistwarehouse_dailydog_60000_2026_100349-bau_image&utm_term=traffic&utm_content=image_static-treat,www.chemistwarehouse.com.au,/shop-online/4343/daily-dog,facebook,social,au_cw_house_facebook_social_chemistwarehouse_dailydog_60000_2026_100349-bau_image,60000,traffic,image_static-treat,House,Chemistwarehouse,Dailydog,2026,image,Treat your fur baby to Daily Dog,"Discover Daily Dog range at Chemist Warehouse, shop online now",Shop Now,https://scontent.fdac149-1.fna.fbcdn.net/v/t39.35426-6/714852688_4248379578757903_7718818703371768170_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ILLjljhEVv0Q7kNvwHdaPNK&_nc_oc=AdqvRcu_ZwqIeDGDgudxzoM1LIg0GoCeM3jxEf3Zr4tqQuGQiUKm-rKOSCQ6qs_xMH8&_nc_zt=14&_nc_ht=scontent.fdac149-1.fna&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&oh=00_Af82wOenvx9u_Iuf3-R4Iu3RRDPmocfZs5woyvbg99Oqqw&oe=6A2C2F85,,"['FACEBOOK', 'INSTAGRAM']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM",True,True,False,False,False,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
957660957079636,1744034343633430,True,2026-06-05 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/1222/soothers?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun26_100515-oa_video-image&utm_term=traffic&utm_content=video-image_,www.chemistwarehouse.com.au,/shop-online/1222/soothers,facebook,social,au_cw_oa_facebook_social_nestleconsumerservices_soothers_258_jun26_100515-oa_video-image,258,traffic,video-image_,O&O,Nestleconsumerservices,Soothers,jun26,video-image,Soothes and Relieves,"Medicated throat multi-packs across Butter Menthol, Anticol and Soothers brands. Providing you comfort from your sore throat!",Shop Now,https://scontent.fdac149-1.fna.fbcdn.net/v/t39.35426-6/716975797_4349723135344223_8295778127364735546_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hM6dTrl776wQ7kNvwH3-d0F&_nc_oc=AdqQaheMS72He112U7JqHGXr-vt2Dyb00CYX7uqtL66rpdtDhVprBE5hTH1KXd_0EXY&_nc_zt=14&_nc_ht=scontent.fdac149-1.fna&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&oh=00_Af_2AnjDVx34o9L-WnJrxoDUwQPVCwUlnaDwd8Lx_3enjQ&oe=6A2C2E47,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'WHATSAPP', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP, THREADS",True,True,True,True,True,True,Brand/Category Page,True,False,False,2026-06-08,2026-06-05 07:00:00,2026-06-08 16:55:56.821523,3
1276102431174365,2224406675034497,True,2026-06-04 07:00:00,2026-06-06 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/684/olay?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100403-oa_video-image&utm_term=traffic&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/684/olay,facebook,social,au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100403-oa_video-image,665,traffic,video-image_all,Coop,Proctergambleaustralia,Olay,2026,video-image,TRY NEW OLAY Range,Use Olay Super Essence Water & Super Emulsion together to Visibly reduces wrinkles,Shop Now,https://scontent.fdac149-1.fna.fbcdn.net/v/t39.35426-6/716776388_2422055981631869_316159409459524722_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=stEHF_1S72QQ7kNvwFI49y0&_nc_oc=AdoVNu_f2vqvjMfsge49NqklViOULpvywxPwkqXMenFx0dRczmR7zPBOtJLpQrJyG-o&_nc_zt=14&_nc_ht=scontent.fdac149-1.fna&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&oh=00_Af-XnJrbGR93ZWGLhxCr5vCUz-4qd2Vz0EK9wmSfXp9auA&oe=6A2C31C4,,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-04 07:00:00,2026-06-08 16:55:56.821523,4
1377266320899232,823126303852724,True,2026-06-04 07:00:00,2026-06-07 07:00:00,Chemist Warehouse,Chemist Warehouse,{{product.name}},{{product.brand}},Shop now,DCO,https://www.chemistwarehouse.com.au/shop-online/684/olay?utm_source=facebook&utm_medium=social&utm_campaign=au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100403-oa_video-image&utm_term=traffic&utm_content=video-image_all,www.chemistwarehouse.com.au,/shop-online/684/olay,facebook,social,au_cw_coop_facebook_social_proctergambleaustralia_olay_665_2026_100403-oa_video-image,665,traffic,video-image_all,Coop,Proctergambleaustralia,Olay,2026,video-image,TRY NEW OLAY Range,Use Olay Super Essence Water & Super Emulsion together to Visibly reduces wrinkles,Shop Now,,https://video.fdac149-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQO_Qm4_nhcpGjqKU-v97TWGLng5j_-TCS4vK2fzgQBMHQXVhllsOKE7zmKotZffPHENFKIxCStBtMNyqizm-zv_rua8MfKaYwzDaBo2p1mwXw.mp4?_nc_cat=111&_nc_oc=AdquunukAeLiN_RQioEMfaUsyPdG5spaoce36GITO8rtkoQrdft4jW2BitHx9fdxyZ0&_nc_sid=5e9851&_nc_ht=video.fdac149-1.fna.fbcdn.net&_nc_ohc=fnxVnLXiLJUQ7kNvwGMx1vt&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIzODA5MjU0MzIzODc4NDEsImFzc2V0X2FnZV9kYXlzIjoyNSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=f3e6bad046007b87&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9GNDREODNBQTkyNUZEOUUwOThBRDg1QjEyRTFGQjI4MF9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0ZGNDE1REFGODkyRDQ3NkUzNjdERDFFMEY2QUJGMzg0X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaC5JLqjNy6CBUCKAJDMywXQBQAAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=cqYjXE_LYQtDloN8HSW1Sg&_nc_ss=7f289&_nc_zt=28&oh=00_Af8m1W820ob8JWltVwfQ-f6kVEaJR5MVzzlSIroYaKjlJg&oe=6A2C3519,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",au,cw,facebook,social,2026-W23,2026-06,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",True,True,True,True,True,False,Brand/Category Page,True,False,False,2026-06-08,2026-06-04 07:00:00,2026-06-08 16:55:56.821523,4
